latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-22.237,-48.531,302.4,1.1,1,2019-08-31,01:45,T,49,6.0NRT,288.9,6.1,N
-22.263,-50.928,301.1,1.5,1.2,2019-08-31,01:45,T,38,6.0NRT,290.3,8.1,N
-21.875,-48.826,313,1.1,1.1,2019-08-31,01:45,T,86,6.0NRT,285.9,14.4,N
-21.866,-48.827,309.9,1.1,1.1,2019-08-31,01:45,T,79,6.0NRT,288.5,12.8,N
-20.946,-42.678,307.5,1.4,1.2,2019-08-31,01:45,T,72,6.0NRT,289.1,14.2,N
-21.463,-46.868,306,1,1,2019-08-31,01:45,T,66,6.0NRT,288,7.8,N
-22.419,-56.707,306.3,3.9,1.8,2019-08-31,01:45,T,68,6.0NRT,292.4,49.1,N
-21.395,-48.467,302.2,1.1,1,2019-08-31,01:45,T,46,6.0NRT,290.3,5.7,N
-8.277,-48.295,306.7,1,1,2019-08-31,01:50,T,43,6.0NRT,294.4,6.2,N
-15.296,-56.033,306.8,2.8,1.6,2019-08-31,01:50,T,28,6.0NRT,294.4,21.7,N
-15.31,-56.031,306.5,2.8,1.6,2019-08-31,01:50,T,53,6.0NRT,294.6,21.2,N
-15.308,-56.006,304.5,2.8,1.6,2019-08-31,01:50,T,26,6.0NRT,294.1,16,N
-15.376,-55.939,309.3,2.8,1.6,2019-08-31,01:50,T,67,6.0NRT,294.6,30.1,N
-15.394,-55.964,306.9,2.8,1.6,2019-08-31,01:50,T,62,6.0NRT,294,22,N
-15.391,-55.937,307.1,2.8,1.6,2019-08-31,01:50,T,65,6.0NRT,295.1,23,N
-15.248,-52.74,311,1.6,1.2,2019-08-31,01:50,T,73,6.0NRT,293.5,16.8,N
-15.25,-52.749,310,1.6,1.2,2019-08-31,01:50,T,56,6.0NRT,294.2,15,N
-15.248,-52.735,306.1,1.6,1.2,2019-08-31,01:50,T,31,6.0NRT,292.6,10,N
-14.676,-48.14,304.1,1,1,2019-08-31,01:50,T,58,6.0NRT,292.4,4.8,N
-15.298,-52.773,313.4,1.6,1.2,2019-08-31,01:50,T,38,6.0NRT,295.3,17.5,N
-14.674,-48.065,305.4,1,1,2019-08-31,01:50,T,62,6.0NRT,292.9,6.2,N
-14.703,-48.136,305.5,1,1,2019-08-31,01:50,T,50,6.0NRT,292.2,5.5,N
